;stations_id;longitude;latitude;overall_rain;altitude
0;216;7.8807;51.1143;322.7;298
1;389;8.4318;51.0148;335.80000000000007;436
2;390;8.3683;50.9837;378.49999999999994;610
3;613;9.2324;51.5677;395.09999999999997;206
4;644;9.1738;51.7049;387.6000000000001;150
5;796;8.1257;50.7556;417.40000000000003;412
6;934;8.5658;51.7835;348.4000000000001;88
7;1300;8.1565;51.254;412.09999999999997;351
8;2483;8.4891;51.1803;501.6000000000001;839
9;2947;8.0348;51.1333;294.70000000000005;286
10;3028;8.8388;51.7854;379.7000000000001;157
11;3031;8.3945;51.6336;370.8999999999998;92
12;3098;7.6425;51.2452;336.8;387
13;3215;8.7125;51.1683;291.70000000000005;375
14;3499;7.853;51.2915;388.49999999999994;292
15;4127;7.6958;50.9906;360.8;347
16;4313;8.4342;51.4966;374.80000000000007;370
17;4368;8.5796;51.7098;344.99999999999994;93
18;4400;8.1808;51.5439;373.1000000000001;171
19;4488;8.2672;51.2127;374.20000000000005;443
20;5347;9.1118;51.5039;371.10000000000014;229
21;5360;8.2665;51.4319;444.90000000000003;236
22;5480;7.8879;51.5763;285.4000000000001;331
23;5619;7.4234;51.1637;341.5999999999999;418
24;5699;8.7784;51.5427;335.8;85
25;6264;8.65;51.413999999999994;389.8999999999999;360
26;6313;7.4672;51.2488;386.8999999999999;312
27;7330;7.978;51.4633;418.2000000000001;457
28;13700;7.3411;51.3329;357.0999999999999;235
29;13713;7.6289;51.0899;402.40000000000015;440
